                               mean        std        2.5q        25q        50q        75q       97.5q       mc err
a_subj.31                   6.10197   0.427532     5.32524    5.80574    6.07952    6.36874     7.00979   0.00541314
a_subj.32                    3.2909   0.230891     2.87136     3.1298    3.27902    3.43686     3.77543   0.00255771
a_subj.33                   3.06595   0.225481     2.66723    2.90753    3.05128    3.20857     3.54773   0.00282689
a_subj.34                   3.03463    0.25323     2.58271    2.85526    3.01826    3.19862     3.58007   0.00282416
a_subj.35                    3.6775   0.274789     3.18048    3.48696    3.66119    3.85174     4.26932   0.00305279
a_subj.36                    5.9612   0.415453     5.21485    5.66641    5.94318    6.22844     6.83179   0.00456788
a_subj.37                    4.0817   0.276829     3.57569    3.88826    4.07033     4.2608     4.65577    0.0031144
a_subj.38                   3.65937   0.257515     3.18693    3.48086    3.64434    3.82428     4.20126    0.0027265
a_subj.39                   3.12178   0.217017     2.72347    2.97254    3.11162    3.26043     3.57691   0.00236153
a_subj.40                   2.52939   0.215576     2.14667    2.37945    2.51432    2.66181     2.99709    0.0029042
a_subj.41                   4.99151   0.372492     4.32969    4.73247    4.96968    5.22429     5.77556   0.00492474
a_subj.42                    1.7839   0.142785     1.52807    1.68443    1.77614    1.87293     2.09097   0.00192782
a_subj.43                   3.98432   0.283276     3.45658    3.78621    3.97266    4.17022     4.57234   0.00366949
a_subj.44                    2.0685   0.153408     1.79437    1.96164    2.05852    2.16603     2.39442   0.00169496
a_subj.45                   3.57319   0.255686      3.1165    3.39213      3.561    3.73717     4.10464   0.00309322
a_subj.46                   3.55196   0.256282      3.0872    3.37356    3.53746    3.71389     4.09775   0.00329284
a_subj.47                   5.22876   0.407687      4.5057    4.94559    5.20197    5.48764     6.09528   0.00544505
a_subj.48                   4.69407   0.319998     4.11813    4.47075    4.67337    4.90169     5.36558   0.00383435
a_subj.49                   5.07822   0.427393     4.32014    4.78045    5.05117    5.35034     5.97339   0.00517473
t                          0.813863   0.440083   0.0561816   0.457589   0.822724    1.16002     1.61349   0.00783975
t_std                        1.6636   0.300931     1.13186    1.44302    1.65237    1.86107      2.2873   0.00548258
t_subj.1                    1.37818  0.0714251      1.2093    1.33877    1.38799    1.42945     1.48728   0.00085909
t_subj.2                    1.60129   0.147255     1.25243    1.51675    1.62088    1.70786     1.83117   0.00168913
t_subj.3                   0.380881  0.0880055    0.170511   0.331258   0.394416   0.445442    0.512044   0.00100995
t_subj.4                    1.94847   0.122019     1.66605    1.87984    1.96429    2.03655     2.13827   0.00164249
t_subj.5                    3.36463   0.182301     2.94088    3.25919    3.38895    3.49585     3.64921   0.00262197
t_subj.6                   0.551052  0.0220672    0.498053   0.538908   0.554695   0.566897    0.583508  0.000302373
t_subj.7                    2.19643   0.204948     1.71937    2.08246    2.22627    2.34422     2.50798   0.00308375
t_subj.8                    1.31485   0.160511    0.936156    1.22542    1.34025    1.43069     1.55412   0.00220171
t_subj.9                   0.928776   0.292945    0.244368   0.748842   0.971564    1.14858     1.38424   0.00398226
t_subj.10                   2.31383   0.269702     1.68286    2.15968    2.34946    2.50649     2.73654   0.00322866
t_subj.11                  0.836543   0.121708    0.552245   0.767544   0.854164    0.92369     1.02337   0.00154248
t_subj.12                   1.66961   0.194133     1.22955    1.55448    1.69421    1.81038     1.97832   0.00293575
t_subj.13                   1.93251   0.116238     1.66075    1.86724    1.94792     2.0157     2.11393   0.00149519
t_subj.15                   1.10494   0.187672    0.675743    0.99605    1.12969    1.23934     1.40237   0.00241665
t_subj.16                    1.5002   0.213502    0.996003    1.38139    1.52864    1.65332     1.83315   0.00253624
t_subj.17                   3.13536   0.281704     2.47928    2.97615    3.17288     3.3377     3.57682   0.00335239
t_subj.18                   1.38677  0.0800584     1.19918    1.34371      1.399    1.44392     1.50565   0.00101272
t_subj.19                     1.506  0.0980875     1.27739    1.45057    1.51974    1.57599     1.65778   0.00132469
t_subj.20                   2.99546   0.301233     2.30554    2.82077    3.03409    3.21087     3.47147   0.00411613
t_subj.21                    1.8272   0.303299     1.11911    1.65549    1.87154    2.04671     2.29149   0.00376583
t_subj.22                  0.988277   0.094514     0.77044   0.933778    1.00193    1.05612     1.13371   0.00129115
t_subj.23                 0.0857849  0.0694877  0.00362513   0.030801  0.0689006   0.124029    0.257305   0.00090457
t_subj.24                    1.5684   0.242769      1.0087    1.42891    1.59718    1.74032       1.957   0.00313479
t_subj.25                   5.22686   0.650383     3.74005    4.84282    5.30501    5.69868     6.25912    0.0106416
t_subj.26                  0.335365   0.081608    0.139386    0.28959   0.348083   0.394386    0.459559   0.00121425
t_subj.27                   2.64309   0.111368     2.38673    2.58012    2.65802     2.7237     2.81392   0.00151126
t_subj.28                   1.54788   0.255589     0.97009    1.39339    1.57836    1.73477     1.95441   0.00288345
t_subj.29                  0.460029  0.0374634    0.372848   0.438943   0.465348   0.487048    0.516975  0.000487857
t_subj.30                   1.26171   0.104009     1.02037    1.20436    1.27636    1.33615     1.41929    0.0013387
t_subj.31                   4.99235    0.38506      4.0651    4.78487    5.05713    5.26877     5.55286   0.00540209
t_subj.32                   2.47118   0.103578     2.22833    2.41182    2.48477    2.54542     2.63056   0.00133193
t_subj.33                     2.858   0.090914     2.64238    2.80721    2.87191    2.92418     2.99377   0.00126061
t_subj.34                   0.88083   0.101101    0.639357   0.823612   0.896888    0.95409     1.03181   0.00139962
t_subj.35                   1.76069   0.145029     1.42165    1.67987    1.78255    1.86496     1.98235   0.00171674
t_subj.36                   1.70588   0.288115     1.01409    1.54262    1.74719    1.91054     2.14627   0.00347643
t_subj.37                  0.580441   0.154412    0.228557    0.48886   0.599126   0.691452    0.831721   0.00182613
t_subj.38                   1.00023   0.140293    0.673794   0.918825    1.01774    1.10091     1.22358   0.00161845
t_subj.39                   1.77635  0.0934783     1.55413    1.72396     1.7903    1.84357     1.91837    0.0012009
t_subj.40                   0.38975  0.0680411    0.232395   0.350807   0.398882   0.438726    0.494907   0.00132228
t_subj.41                   3.57021   0.245594     3.00707     3.4284    3.60018    3.74654     3.95869   0.00334071
t_subj.42                  0.424447  0.0405653    0.329162   0.402024   0.429794   0.453177    0.487876   0.00054017
t_subj.43                  0.395577   0.155911    0.072619   0.287095   0.406018   0.508821    0.669088   0.00219086
t_subj.44                   1.32844  0.0432085     1.22703    1.30496    1.33541     1.3594      1.3925  0.000541046
t_subj.45                   1.74883   0.122908     1.46221    1.67929    1.76802    1.83811     1.93411   0.00155566
t_subj.46                   1.63543   0.135157     1.32419    1.55638    1.65379    1.73181     1.84645   0.00200623
t_subj.47                   1.38997   0.276297    0.773917     1.2286    1.42217    1.58766     1.83656   0.00401944
t_subj.48                   1.43427   0.227658    0.913031    1.30079    1.46389    1.59746     1.79198   0.00304548
t_subj.49                   1.23039   0.293396    0.542495    1.05649     1.2731    1.44273     1.68775   0.00377742
sz                          0.12696  0.0777472  0.00614833  0.0636117   0.121852   0.183053    0.285555   0.00154824
z                          0.523348  0.0112259    0.501468   0.515847   0.523254   0.530784    0.545628    0.0001941
z_std                      0.228525  0.0439588    0.147299   0.198227   0.226931   0.257376    0.318929   0.00107317
z_subj.1                   0.493082   0.033814    0.426965   0.470628   0.492998   0.515717    0.559049  0.000351761
z_subj.2                   0.497305  0.0350241    0.428134   0.473726   0.497427   0.520862    0.565498     0.000397
z_subj.3                   0.580366  0.0382313    0.504554   0.554223   0.580526   0.606006    0.654867  0.000552552
z_subj.4                   0.501325  0.0343978    0.433524   0.478081   0.501243   0.524471    0.569064  0.000395297
z_subj.5                   0.549809  0.0345644    0.480916   0.526931   0.550101   0.573293    0.616149  0.000359338
z_subj.6                   0.561025  0.0336317    0.494678   0.538446   0.561106   0.583494    0.627031  0.000413078
z_subj.7                   0.579046  0.0384512    0.503014   0.553242   0.578714   0.605017    0.654968  0.000659236
z_subj.8                   0.530878  0.0371215    0.458808   0.506123   0.530972    0.55571    0.603912  0.000472834
z_subj.9                   0.559823  0.0430585    0.475007   0.530715   0.559975   0.589024    0.644037  0.000481293
z_subj.10                  0.522529    0.03641    0.449968   0.497855    0.52264   0.546867    0.593417  0.000405406
z_subj.11                  0.502797   0.034888    0.433019   0.479627   0.503362   0.525969    0.571016  0.000357873
z_subj.12                  0.547652  0.0347913    0.478347   0.524375   0.547643   0.570708    0.617047  0.000401933
z_subj.13                  0.516389  0.0349595    0.446456   0.493201   0.516749   0.539851    0.583605  0.000358048
z_subj.15                  0.523861  0.0341767    0.455733   0.501323   0.523586   0.546873    0.590843  0.000349128
z_subj.16                  0.468139  0.0357223    0.398203   0.444082   0.468085   0.492007    0.538544  0.000465844
z_subj.17                  0.485003  0.0357126     0.41472   0.460811   0.485569   0.509377    0.555185  0.000374604
z_subj.18                  0.541811  0.0362912    0.470273   0.517457   0.541891    0.56633    0.612573  0.000411818
z_subj.19                  0.522222    0.03347    0.455601   0.499646   0.522665   0.544909    0.586766  0.000296737
z_subj.20                  0.499124    0.03579    0.428938   0.475196   0.498975   0.523061    0.568885    0.0004073
z_subj.21                  0.548352  0.0386038    0.472759   0.521925   0.548526   0.574485    0.623465   0.00052083
z_subj.22                  0.467466  0.0354499    0.397293   0.443931   0.467676   0.491587    0.536148  0.000395809
z_subj.23                  0.585389  0.0368129    0.514506   0.560185   0.585469   0.610083     0.65762   0.00052109
z_subj.24                  0.558054  0.0361649     0.48746   0.533636   0.558023   0.582534    0.629007  0.000400336
z_subj.25                  0.520479  0.0371904    0.447218   0.495773   0.520483   0.545433    0.592938  0.000549412
z_subj.26                  0.396702  0.0433656    0.312849   0.366613   0.395994   0.426214    0.482852  0.000739658
z_subj.27                    0.5322  0.0365384    0.459826   0.507694   0.532697   0.556966     0.60346  0.000375496
z_subj.28                  0.518915  0.0350803    0.449183   0.495687   0.519082   0.542541    0.586907  0.000425682
z_subj.29                  0.524163  0.0350663    0.455927   0.500505   0.524305   0.548207    0.592855  0.000387952
z_subj.30                   0.51142  0.0344779     0.44369   0.487925   0.511538   0.534716    0.578863  0.000311108
z_subj.31                  0.543038  0.0372534    0.470549    0.51828   0.542885   0.567898    0.617458  0.000509436
z_subj.32                  0.477309  0.0366283    0.405111   0.452394   0.477216   0.502278     0.54917  0.000464091
z_subj.33                  0.464187  0.0355623    0.394983    0.43992   0.464655   0.488136    0.533159  0.000486468
z_subj.34                  0.584756  0.0407738     0.50481   0.557303   0.584818   0.611837    0.665815  0.000622357
z_subj.35                  0.516469  0.0348863    0.446425    0.49374   0.517073   0.539803    0.584367  0.000349662
z_subj.36                  0.505185  0.0366378    0.432472   0.480678    0.50526   0.530022    0.576702  0.000452252
z_subj.37                  0.566663  0.0340317    0.499758   0.543658   0.566884   0.589732    0.633414  0.000409102
z_subj.38                  0.496532  0.0341824    0.428226   0.473636   0.496974   0.519658    0.562864  0.000414523
z_subj.39                  0.515259  0.0351755    0.445161    0.49175    0.51574   0.539011     0.58325  0.000353158
z_subj.40                  0.645901  0.0445733    0.559812   0.614999   0.645442   0.676958    0.733217  0.000983821
z_subj.41                   0.50729  0.0346247    0.439728   0.483822   0.507472   0.530287    0.575275  0.000367586
z_subj.42                  0.569335  0.0351525    0.499235   0.546067    0.56907     0.5934    0.637991  0.000368058
z_subj.43                  0.523353  0.0345819    0.454789   0.500311    0.52378    0.54666    0.590523  0.000412934
z_subj.44                   0.46014  0.0381651    0.383868   0.434124   0.460683   0.486268    0.533694  0.000496581
z_subj.45                  0.522356  0.0353145    0.451366   0.498991   0.522447   0.545941    0.591401   0.00033004
z_subj.46                    0.4997  0.0340138    0.432984   0.477036   0.500072   0.522585    0.566767  0.000361295
z_subj.47                  0.463738  0.0364645      0.3921   0.439033   0.463775    0.48861    0.534235  0.000475773
z_subj.48                  0.538391  0.0341192    0.471311     0.5155   0.538511   0.561377    0.605155  0.000374176
z_subj.49                   0.56142  0.0393602    0.484361   0.534774   0.561257   0.587599    0.640077  0.000474546
v_C(desWorld)[0]          -0.220732  0.0226248   -0.265738  -0.235627    -0.2208  -0.205482   -0.176622  0.000544414
v_C(desWorld)[0]_std      0.0816889  0.0266667   0.0289155  0.0643612  0.0811828  0.0990432    0.134897    0.0012201
v_C(desWorld)[0]_subj.1   -0.258319  0.0800897   -0.431075  -0.307205  -0.252183  -0.205171   -0.110677   0.00123933
v_C(desWorld)[0]_subj.2   -0.218084    0.07145   -0.361888  -0.262767  -0.218143  -0.174177  -0.0712113  0.000706576
v_C(desWorld)[0]_subj.3   -0.176004  0.0728215   -0.312602  -0.224357  -0.180405  -0.130475  -0.0218768   0.00112198
v_C(desWorld)[0]_subj.4   -0.287483  0.0777987   -0.455596   -0.33666  -0.281152  -0.232758   -0.150564   0.00156144
v_C(desWorld)[0]_subj.5   -0.214119  0.0663939    -0.34754  -0.256978  -0.213965  -0.171806  -0.0818428  0.000748152
v_C(desWorld)[0]_subj.6   -0.193107  0.0853284   -0.355249  -0.247843  -0.196596  -0.141544  -0.0130937   0.00109955
v_C(desWorld)[0]_subj.7   -0.229186  0.0640001   -0.360328  -0.269982   -0.22757  -0.187668   -0.104187  0.000737874
v_C(desWorld)[0]_subj.8   -0.178583  0.0688346   -0.309323  -0.223966  -0.182438  -0.134775  -0.0367045   0.00100893
v_C(desWorld)[0]_subj.9   -0.269414  0.0766711    -0.43323  -0.317501  -0.264006  -0.217167   -0.130493   0.00136608
v_C(desWorld)[0]_subj.10  -0.225408  0.0607128   -0.347464  -0.263926  -0.224518  -0.186144   -0.106348  0.000683671
v_C(desWorld)[0]_subj.11  -0.142835   0.079531   -0.283839   -0.19862  -0.149388 -0.0921668   0.0289523   0.00161662
v_C(desWorld)[0]_subj.12  -0.193169  0.0608764   -0.309928  -0.234026   -0.19432  -0.154215   -0.069632   0.00078246
v_C(desWorld)[0]_subj.13  -0.204011  0.0706821   -0.341741  -0.249434  -0.205607  -0.159857  -0.0587494  0.000835194
v_C(desWorld)[0]_subj.15     -0.259  0.0687746   -0.401312  -0.303241  -0.255519  -0.212771   -0.131866   0.00106847
v_C(desWorld)[0]_subj.16  -0.204516  0.0633705   -0.327607  -0.245505  -0.206002  -0.164214  -0.0750623   0.00070941
v_C(desWorld)[0]_subj.17  -0.160382  0.0647441   -0.279247  -0.205266  -0.163741  -0.118237  -0.0241138   0.00106527
v_C(desWorld)[0]_subj.18  -0.178503  0.0762661   -0.318934   -0.22992  -0.182611   -0.13016  -0.0162116   0.00103699
v_C(desWorld)[0]_subj.19  -0.194489  0.0770219   -0.341412  -0.243837  -0.197753  -0.147131  -0.0310242  0.000955749
v_C(desWorld)[0]_subj.20  -0.299282  0.0748811   -0.459365  -0.347476  -0.294011  -0.246444   -0.167941   0.00172625
v_C(desWorld)[0]_subj.21  -0.142696  0.0600694   -0.252023  -0.184665  -0.145227  -0.102769  -0.0197978   0.00132484
v_C(desWorld)[0]_subj.22  -0.190922  0.0779937    -0.34006  -0.241814  -0.193834   -0.14316  -0.0293316    0.0010077
v_C(desWorld)[0]_subj.23  -0.253855  0.0642347   -0.387388  -0.295137  -0.251723  -0.210025   -0.133809   0.00105194
v_C(desWorld)[0]_subj.24  -0.217781  0.0635046   -0.343536  -0.258593  -0.217846  -0.177133  -0.0912427  0.000653164
v_C(desWorld)[0]_subj.25  -0.339551  0.0693939   -0.481111  -0.385131  -0.337703  -0.291088   -0.210568    0.0021945
v_C(desWorld)[0]_subj.26  -0.262454   0.084323    -0.44572  -0.312087  -0.256763  -0.207625   -0.106352    0.0014478
v_C(desWorld)[0]_subj.27  -0.257956  0.0787047   -0.426488  -0.305632  -0.252592  -0.205727   -0.111292   0.00119131
v_C(desWorld)[0]_subj.28  -0.140179   0.061749   -0.251065  -0.183908  -0.143232  -0.099875 -0.00982001   0.00131576
v_C(desWorld)[0]_subj.29    -0.2676  0.0851959   -0.452072  -0.318055  -0.260863  -0.210623   -0.114717   0.00133094
v_C(desWorld)[0]_subj.30  -0.253853  0.0785195   -0.420175  -0.301453  -0.249544  -0.201892   -0.105672   0.00110882
v_C(desWorld)[0]_subj.31  -0.268663  0.0638262   -0.401517  -0.309979  -0.265348  -0.224842   -0.152809   0.00118215
v_C(desWorld)[0]_subj.32  -0.255491   0.075907   -0.415412  -0.302735  -0.251482  -0.205087   -0.112969   0.00108842
v_C(desWorld)[0]_subj.33  -0.260313  0.0794727   -0.432942  -0.308609  -0.254247  -0.207255   -0.112213   0.00129271
v_C(desWorld)[0]_subj.34  -0.190106  0.0770627   -0.335968  -0.239999  -0.193059  -0.142632  -0.0281433   0.00112878
v_C(desWorld)[0]_subj.35  -0.249876  0.0721902   -0.399865  -0.295374  -0.247197  -0.201575   -0.112771   0.00100057
v_C(desWorld)[0]_subj.36   -0.28164  0.0644717   -0.415919  -0.324365   -0.27814  -0.235963   -0.163855   0.00134063
v_C(desWorld)[0]_subj.37  -0.184546  0.0693803   -0.315083  -0.230635  -0.187566  -0.141001  -0.0396845  0.000984405
v_C(desWorld)[0]_subj.38  -0.155744  0.0729025   -0.285548  -0.205884  -0.161037  -0.110861   0.0022606    0.0013179
v_C(desWorld)[0]_subj.39  -0.196578  0.0738522   -0.338123  -0.244148  -0.199047  -0.151018  -0.0402634  0.000948625
v_C(desWorld)[0]_subj.40  -0.177294  0.0816597   -0.329778  -0.230683  -0.182177  -0.128584  -0.0034519   0.00124669
v_C(desWorld)[0]_subj.41  -0.243526    0.06095   -0.369964  -0.282797  -0.241548  -0.202269   -0.128518  0.000848867
v_C(desWorld)[0]_subj.42  -0.221875    0.08343   -0.391088  -0.272046  -0.220986  -0.172293  -0.0501091  0.000794701
v_C(desWorld)[0]_subj.43  -0.183876  0.0652698   -0.304502  -0.227607  -0.186822   -0.14242  -0.0470655  0.000833212
v_C(desWorld)[0]_subj.44  -0.173253  0.0883318   -0.332661  -0.231152  -0.180258  -0.120801   0.0214162   0.00129326
v_C(desWorld)[0]_subj.45  -0.233529  0.0722918    -0.38291  -0.277887  -0.231359  -0.187027  -0.0944054  0.000850048
v_C(desWorld)[0]_subj.46  -0.245513  0.0732782   -0.400445  -0.290993  -0.241739  -0.197031   -0.108228   0.00101589
v_C(desWorld)[0]_subj.47  -0.221275  0.0607489   -0.341889   -0.26012  -0.220732  -0.182015   -0.101356  0.000681429
v_C(desWorld)[0]_subj.48  -0.213148  0.0609807   -0.332774  -0.253289  -0.213342  -0.173812  -0.0910602  0.000564858
v_C(desWorld)[0]_subj.49  -0.221558  0.0661598   -0.352947  -0.264231  -0.221399  -0.178738  -0.0918367   0.00064866
v_C(desWorld)[1]           0.296446  0.0251681    0.248301   0.279509   0.295777   0.313031    0.347273  0.000548311
v_C(desWorld)[1]_std       0.106956  0.0335604   0.0373651  0.0857952   0.106949   0.128421    0.174398   0.00152694
v_C(desWorld)[1]_subj.1    0.291625  0.0932581    0.106988   0.233241   0.291535   0.350981    0.479872  0.000809531
v_C(desWorld)[1]_subj.2    0.166666  0.0838304 -0.00532747   0.112322   0.170315   0.226707    0.315791   0.00196349
v_C(desWorld)[1]_subj.3    0.409323   0.103266    0.233048   0.334859   0.401735     0.4737    0.631837    0.0024712
v_C(desWorld)[1]_subj.4    0.305062   0.087954    0.132302   0.249558   0.302817   0.359688    0.488204  0.000895005
v_C(desWorld)[1]_subj.5    0.264902  0.0779531     0.10871   0.214196   0.266309   0.316507    0.416883  0.000862529
v_C(desWorld)[1]_subj.6    0.297279   0.104635   0.0854197   0.234358   0.295045   0.361519    0.509348   0.00116268
v_C(desWorld)[1]_subj.7    0.437943  0.0992317    0.260711   0.366507   0.433473   0.503366    0.643015   0.00279592
v_C(desWorld)[1]_subj.8    0.390996  0.0871362    0.238424   0.328723   0.387086   0.447392    0.577079   0.00203908
v_C(desWorld)[1]_subj.9    0.339571  0.0882895    0.171215    0.28125   0.335877   0.394715    0.524911   0.00131506
v_C(desWorld)[1]_subj.10   0.358855  0.0779883    0.215121   0.304604   0.356132   0.409524    0.520667   0.00138501
v_C(desWorld)[1]_subj.11   0.347206  0.0891903     0.18364   0.286211   0.341933   0.404316    0.533983   0.00135549
v_C(desWorld)[1]_subj.12   0.331819  0.0855982    0.170249   0.274664    0.32832   0.386859    0.508126   0.00125802
v_C(desWorld)[1]_subj.13   0.234393  0.0862861   0.0555865   0.179893   0.239386   0.291329     0.39744   0.00124302
v_C(desWorld)[1]_subj.15   0.283425  0.0799651    0.120441   0.232912   0.284053   0.335397     0.43916  0.000814197
v_C(desWorld)[1]_subj.16   0.311727  0.0730196    0.169676   0.263357   0.309536   0.359581    0.460318  0.000901488
v_C(desWorld)[1]_subj.17   0.304315  0.0666813    0.173978   0.260406   0.303256   0.347144    0.439861   0.00074201
v_C(desWorld)[1]_subj.18   0.345927  0.0933175    0.174417   0.282085     0.3403   0.406011    0.543337   0.00135118
v_C(desWorld)[1]_subj.19   0.278748  0.0823397    0.111261   0.227229   0.279592   0.331455    0.442252  0.000730033
v_C(desWorld)[1]_subj.20   0.280864  0.0632332    0.155009   0.239847   0.280951   0.322132    0.407059  0.000745876
v_C(desWorld)[1]_subj.21   0.315145  0.0663202    0.186259   0.270704    0.31473   0.359415    0.446976  0.000892652
v_C(desWorld)[1]_subj.22   0.352894  0.0878835    0.190229   0.292953   0.348987   0.408555      0.5375     0.001497
v_C(desWorld)[1]_subj.23   0.249404  0.0624226    0.125486   0.208128   0.250751   0.291219    0.370811  0.000707436
v_C(desWorld)[1]_subj.24   0.265412  0.0698153    0.124728   0.220421   0.266582   0.311198    0.401576  0.000737529
v_C(desWorld)[1]_subj.25   0.315053  0.0583719    0.202755   0.275117   0.313991   0.353876    0.431172  0.000817558
v_C(desWorld)[1]_subj.26   0.236293   0.100982   0.0171839   0.174252   0.243243   0.302643    0.424018    0.0015831
v_C(desWorld)[1]_subj.27   0.271514   0.080583    0.110996   0.219352    0.27308   0.322907    0.429391  0.000867245
v_C(desWorld)[1]_subj.28   0.333216  0.0771715    0.186917   0.280793   0.329288   0.381933    0.495414   0.00109289
v_C(desWorld)[1]_subj.29    0.28598   0.103624   0.0758879   0.223055   0.286438   0.349727     0.49479   0.00101803
v_C(desWorld)[1]_subj.30   0.244896  0.0886794   0.0587141   0.189851   0.249992   0.302901    0.412606   0.00113335
v_C(desWorld)[1]_subj.31   0.163644   0.065016   0.0326553   0.120701   0.164303   0.208045    0.286987   0.00169851
v_C(desWorld)[1]_subj.32   0.222696  0.0868331   0.0390792   0.168142   0.228173   0.281373    0.384138    0.0014455
v_C(desWorld)[1]_subj.33   0.410056  0.0999446    0.235694     0.3381   0.403375   0.474987    0.621057   0.00251697
v_C(desWorld)[1]_subj.34    0.32291  0.0980238    0.133706   0.259626   0.319324   0.385344    0.525683   0.00114098
v_C(desWorld)[1]_subj.35   0.288849  0.0835648    0.122863   0.235063    0.28757   0.341753    0.457785  0.000836155
v_C(desWorld)[1]_subj.36   0.208082  0.0643546   0.0782852   0.165211   0.209898   0.252442    0.328945   0.00124481
v_C(desWorld)[1]_subj.37   0.238439  0.0772509   0.0815548   0.188377   0.240985   0.290152    0.384807   0.00107887
v_C(desWorld)[1]_subj.38    0.26169  0.0832355    0.092056   0.207503   0.263789   0.316019     0.42416  0.000925327
v_C(desWorld)[1]_subj.39   0.235565  0.0892582   0.0450873   0.180676   0.240107    0.29572    0.403088    0.0012417
v_C(desWorld)[1]_subj.40   0.385935    0.11063    0.193624   0.308213   0.376573   0.454015    0.627987    0.0022286
v_C(desWorld)[1]_subj.41   0.344751   0.078495    0.198757   0.291091   0.340681   0.394838    0.505331   0.00122445
v_C(desWorld)[1]_subj.42   0.379464   0.111853    0.181444   0.302446   0.369179   0.446657    0.623545   0.00206654
v_C(desWorld)[1]_subj.43   0.342247   0.085252    0.184291   0.284357   0.337543   0.396953    0.522249   0.00130679
v_C(desWorld)[1]_subj.44  0.0989175    0.13095   -0.187125  0.0169349    0.11128   0.196041    0.308653   0.00378679
v_C(desWorld)[1]_subj.45   0.262732  0.0832508   0.0923011   0.209228   0.265499   0.317769    0.422395  0.000922161
v_C(desWorld)[1]_subj.46   0.296176    0.07971    0.140673   0.244951   0.293987   0.347073    0.457898  0.000812968
v_C(desWorld)[1]_subj.47    0.36599  0.0763485    0.225437   0.312393   0.362789   0.415019    0.524693   0.00143736
v_C(desWorld)[1]_subj.48   0.224145  0.0766686   0.0643894   0.174873   0.227529   0.276089    0.369107   0.00123972
v_C(desWorld)[1]_subj.49   0.329228  0.0801477    0.178212   0.274359    0.32642   0.381085     0.49538   0.00102958
DIC: 12040.972034
deviance: 11886.905924
pD: 154.066110
